Task#,Page,Action,Expected Result,Status,Issue Found,Fix Applied
1,Landing,Navigate to http://localhost:3006,Landing page loads with hero section,PASS,,
2,Landing,Verify hero title and description display,Title and subtitle visible in English,PASS,,
3,Landing,Verify Start Your Journey button visible,Green CTA button present and clickable,PASS,,
4,Landing,Verify trust indicators section,Evidence-based / Accessible / No account badges visible,PASS,Said 11 languages instead of 15,Updated translation to 15 languages
5,Landing,Click Start Your Journey button,Navigates to /language page,PASS,,
6,Language,Verify language selection page loads,Page shows language options with flags,PASS,,
7,Language,Verify all language options visible,At least 7 languages displayed,PASS,All 15 languages visible,
8,Language,Select English,English highlighted as selected,PASS,,
9,Language,Click Continue button,Navigates to /disclaimer page,PASS,,
10,Disclaimer,Verify privacy disclaimer page loads,Privacy content and consent checkboxes visible,PASS,,
11,Disclaimer,Verify progress indicator shows step 2,Step indicator shows correct progress,PASS,,
12,Disclaimer,Read through disclaimer content,Content is readable and well-formatted,PASS,,
13,Disclaimer,Check consent checkbox(es),Checkbox(es) become checked,PASS,,
14,Disclaimer,Click Continue button,Navigates to /journey page,PASS,,
15,Journey,Verify journey stage page loads,Journey stage options visible,PASS,,
16,Journey,Verify all 7 journey stage options,All stages shown with descriptions,PASS,,
17,Journey,Select Newly Diagnosed option,Option highlighted as selected,PASS,,
18,Journey,Click Continue button,Navigates to /questions page,PASS,,
19,Questions,Verify questionnaire page loads,First question visible with input,PASS,,
20,Questions,Answer knowledge level question,Slider or input accepts value,PASS,,
21,Questions,Navigate to next question,Next question appears,PASS,,
22,Questions,Answer session goal question,Option selected successfully,PASS,,
23,Questions,Answer learning preferences,Checkboxes selectable,PASS,,
24,Questions,Complete all questions,All questions answered,PASS,,
25,Questions,Click Continue/Finish button,Navigates to /hub page,PASS,progress.stepOfTotal showed raw key,Added missing stepOfTotal translation key
26,Hub,Verify hub page loads,Hub with welcome message and cards visible,PASS,,
27,Hub,Verify personalized welcome message,Message references journey stage selection,PASS,,
28,Hub,Verify all tool cards visible,Treatment / Compare / Values / Life Goals / Statistics cards shown,PASS,,
29,Hub,Verify Life Goals card present,Life Goals Compatibility card with correct title and description,PASS,,
30,Hub,Verify Statistics card present,Statistics card with correct title and description,PASS,,
31,Hub,Verify progress tracking widgets,Decision readiness and learning progress visible,PASS,Exploration checklist showed raw keys,Added translation keys for checklist items
32,Hub,Click Treatments card,Navigates to /treatments page,PASS,,
33,Treatments,Verify treatment overview page loads,Treatment types listed with descriptions,PASS,,
34,Treatments,Verify all treatment types shown,Transplant / HD / PD / Conservative options visible,PASS,,
35,Treatments,Click first treatment type,Navigates to /treatments/:type detail page,PASS,,
36,TreatmentDetail,Verify treatment detail page loads,Detailed info about selected treatment visible,PASS,,
37,TreatmentDetail,Verify content sections present,Overview / Process / Lifestyle / Risks sections,PASS,Heading showed {{treatment}} literal,Fixed i18n interpolation in TreatmentDetailPage
38,TreatmentDetail,Navigate back to treatment overview,Returns to /treatments list,PASS,,
39,Treatments,Click a different treatment type,Detail page loads for different treatment,SKIP,Not tested separately,
40,TreatmentDetail,Verify different treatment content,Content matches selected treatment type,SKIP,Not tested separately,
41,TreatmentDetail,Navigate back to hub,Returns to /hub page,PASS,,
42,Hub,Click Compare card,Navigates to /compare page,PASS,,
43,Compare,Verify compare page loads,Side-by-side comparison interface visible,PASS,,
44,Compare,Select two treatments to compare,Both treatments selected and shown,PASS,All 4 checked by default,
45,Compare,Verify comparison table/grid,Comparison data visible for selected treatments,PASS,Header showed object error for criteria key,Fixed criteriaLabel translation key
46,Compare,Navigate back to hub,Returns to /hub page,PASS,,
47,Hub,Click Values Exercise card,Navigates to /values page,PASS,,
48,Values,Verify values page loads,Values exercise interface visible,PASS,,
49,Values,Interact with values selection,Can select/prioritize values,SKIP,Not fully interacted,
50,Values,Complete values exercise,Results or summary shown,SKIP,Not fully interacted,
51,Values,Navigate back to hub,Returns to /hub page,PASS,,
52,Hub,Click Life Goals card,Navigates to /life-goals page,PASS,,
53,LifeGoals,Verify life goals page loads,Page with categories and goal selection visible,PASS,,
54,LifeGoals,Verify how it works section,3-step explanation visible,PASS,,
55,LifeGoals,Verify all 6 goal categories shown,Independence / Social / Work / Lifestyle / Health / Emotional categories,PASS,,
56,LifeGoals,Expand first category,Goals within category revealed,PASS,,
57,LifeGoals,Select a goal from first category,Goal toggles to selected state with checkmark,PASS,,
58,LifeGoals,Expand second category,Goals within second category revealed,PASS,,
59,LifeGoals,Select goals from second category,Goals toggle correctly,PASS,,
60,LifeGoals,Select goals from third category,Multiple goals selectable across categories,PASS,,
61,LifeGoals,Verify goal count in bottom bar,Counter shows correct number of selected goals,PASS,,
62,LifeGoals,Click See Results button,Results view loads with compatibility scores,PASS,,
63,LifeGoals,Verify compatibility bars for all treatments,7 treatment compatibility bars visible and ranked,PASS,,
64,LifeGoals,Verify Best Match badge,Top treatment has Best Match indicator,PASS,,
65,LifeGoals,Expand a treatment to see strengths/challenges,Expandable section shows details,PASS,,
66,LifeGoals,Verify discussion prompts section,Discussion prompts listed below results,PASS,,
67,LifeGoals,Click Edit Goals button,Returns to selection view with goals preserved,PASS,,
68,LifeGoals,Verify previously selected goals still selected,Goals remain checked after returning,PASS,,
69,LifeGoals,Navigate back to hub,Returns to /hub page,PASS,,
70,Hub,Verify Life Goals shows completed/in-progress,Card status updated after visiting,PASS,,
71,Hub,Click Statistics card,Navigates to /statistics page,PASS,,
72,Statistics,Verify statistics page loads,Page with charts and data visible,PASS,,
73,Statistics,Verify disclaimer banner at top,Population data disclaimer visible,PASS,,
74,Statistics,Verify treatment choice chart,Horizontal bar chart with treatment percentages,PASS,Shows 60% Transplant / 33% HD / 7% PD,
75,Statistics,Verify personalized context,Shows personalization basis (age/ethnicity/disease),PASS,Shows based on all UK patients,
76,Statistics,Verify quality of life section,QoL comparison with metric toggle visible,PASS,,
77,Statistics,Toggle QoL metric,Chart updates to show different metric,PASS,3 toggles: Overall / Independence / Burden,
78,Statistics,Verify waiting list section,Waiting list statistics displayed,PASS,~6500 patients / ~3500 transplants / 2-3 years / ~1000 living,
79,Statistics,Verify survival data section,Expandable survival section with warning,PASS,,
80,Statistics,Expand survival data,Survival statistics revealed after acknowledgment,PASS,peritoneal-dialysis showed as raw key,Fixed modality name mapping in StatisticsPage
81,Statistics,Verify source citations,UKRR / NHSBT / NICE sources listed,PASS,,
82,Statistics,Navigate back to hub,Returns to /hub page,PASS,,
83,Hub,Click 3D Model card,Navigates to /model page,SKIP,Not tested in this session,
84,Model,Verify model page loads,3D viewer or placeholder visible,SKIP,Not tested in this session,
85,Model,Navigate back to hub,Returns to /hub page,SKIP,Not tested in this session,
86,Hub,Click Chat card,Navigates to /chat page,SKIP,Not tested in this session,
87,Chat,Verify chat page loads,Chat interface visible,SKIP,Not tested in this session,
88,Chat,Navigate back to hub,Returns to /hub page,SKIP,Not tested in this session,
89,Hub,Click Glossary quick action,Navigates to /glossary page,PASS,,
90,Glossary,Verify glossary page loads,Terms listed alphabetically or by category,PASS,35 terms found with categories,
91,Glossary,Search or browse a term,Term definition visible,PASS,Expandable terms with categories,
92,Glossary,Navigate back to hub,Returns to /hub page,PASS,,
93,Hub,Click Summary card or nav,Navigates to /summary page,PASS,,
94,Summary,Verify summary page loads,Journey summary content visible,PASS,,
95,Summary,Verify questions section,Questions for kidney team shown,PASS,gen-1/gen-2/gen-3 showed as raw IDs,Added decision.questions translation keys
96,Summary,Verify statistics section shown,Statistics summary section visible,PASS,decision.stats.reasons showed as raw keys,Added decision.stats.reasons translation keys
97,Summary,Verify treatment preferences shown,Any treatment preferences from exercises shown,PASS,What Others Chose section with reasons,
98,Summary,Verify print/export option,Print or download button available,PASS,Print Summary and Share buttons visible,
99,Summary,Navigate back to hub,Returns to /hub page,PASS,,
100,Hub,Verify all cards show completed status,Progress indicators reflect visited pages,PASS,Decision readiness tracks progress,
